iso3,weapon,outcome,lag,rho
BEN,AIR,part_n_minor,5,-0.24570742099507148
BFA,AIR,part_n_minor,0,-0.0026704168604518826
BFA,AIR,part_n_minor,1,-0.37034304390911743
BFA,AIR,part_n_minor,2,0.43048087021828835
BFA,AIR,part_n_minor,3,-0.0480523496858824
BFA,AIR,part_n_minor,4,0.05460746801761729
BFA,AIR,part_n_minor,5,-0.29129145969391973
BGD,AIR,part_n_minor,0,0.05442679665727315
BGD,AIR,part_n_minor,1,0.2022286682856292
BGD,AIR,part_n_minor,2,0.004042496626624242
BGD,AIR,part_n_minor,3,0.05745090209149547
BGD,AIR,part_n_minor,4,-0.16588078640997841
BGD,AIR,part_n_minor,5,-0.13895173643176723
BGR,AIR,part_n_minor,0,0.02980880061631807
BGR,AIR,part_n_minor,1,0.11607235693243707
BGR,AIR,part_n_minor,2,0.0612340233650391
BGR,AIR,part_n_minor,3,-0.06647871773431284
BGR,AIR,part_n_minor,4,-0.0026705053256451663
BGR,AIR,part_n_minor,5,-0.051572402369929146
BHR,AIR,part_n_minor,0,0.0644723815450173
BHR,AIR,part_n_minor,1,0.2734689240009049
BHR,AIR,part_n_minor,2,0.13901510905545028
BHR,AIR,part_n_minor,3,4.87324440434587e-19
BHR,AIR,part_n_minor,4,-0.21146998798671718
BHR,AIR,part_n_minor,5,0.08786211933919297
BIH,AIR,part_n_minor,0,0.14985458795502554
BIH,AIR,part_n_minor,1,-0.14985458795502554
BIH,AIR,part_n_minor,2,-1.9163941761520895e-35
BIH,AIR,part_n_minor,3,0.005676795133272963
BIH,AIR,part_n_minor,4,5.856044644974638e-19
BIH,AIR,part_n_minor,5,-0.23799813204043474
BOL,AIR,part_n_minor,0,-0.3565440124588485
BOL,AIR,part_n_minor,1,0.34854359697665777
BOL,AIR,part_n_minor,2,-0.23860612537068313
BOL,AIR,part_n_minor,3,0.05682237738733145
BOL,AIR,part_n_minor,4,0.036679332553191626
BOL,AIR,part_n_minor,5,-0.11467075070870926
BRA,AIR,part_n_minor,0,0.05482071045640542
BRA,AIR,part_n_minor,1,-0.09190711453880791
BRA,AIR,part_n_minor,2,0.2390991665969722
BRA,AIR,part_n_minor,3,-0.27552396144058855
BRA,AIR,part_n_minor,4,-0.04266672285476511
BRA,AIR,part_n_minor,5,-0.07460812601998486
BTN,AIR,part_n_minor,0,0.2640695068832216
BTN,AIR,part_n_minor,1,-0.09374609387091287
BTN,AIR,part_n_minor,2,0.12086887078457108
BTN,AIR,part_n_minor,3,-0.12087857939610747
BTN,AIR,part_n_minor,4,-3.4487308701997954e-19
BTN,AIR,part_n_minor,5,-1.1364624759241524e-19
BWA,AIR,part_n_minor,0,-0.24715517580573212
BWA,AIR,part_n_minor,1,0.2816525698880659
BWA,AIR,part_n_minor,2,-0.012949851424889918
BWA,AIR,part_n_minor,3,0.07490075173937154
BWA,AIR,part_n_minor,4,-0.32200552279551337
BWA,AIR,part_n_minor,5,0.37372659291122085
CAF,AIR,part_n_minor,0,0.3944953626936324
CAF,AIR,part_n_minor,1,-0.44401074248219113
CAF,AIR,part_n_minor,2,0.1825997744365962
CAF,AIR,part_n_minor,3,-0.034046498620949044
CAF,AIR,part_n_minor,4,0.12908478852985003
CAF,AIR,part_n_minor,5,-0.17280562581829034
CAN,AIR,part_n_minor,0,-0.19834828576927452
CAN,AIR,part_n_minor,1,0.14699968433474245
CAN,AIR,part_n_minor,2,0.2502419499260243
CAN,AIR,part_n_minor,3,0.039125654902872266
CAN,AIR,part_n_minor,4,-0.21112424714211508
CAN,AIR,part_n_minor,5,-0.3119366995100577
CHE,AIR,part_n_minor,0,0.207137204540439
CHE,AIR,part_n_minor,1,-0.1568172241090456
CHE,AIR,part_n_minor,2,-0.028360111086597244
CHE,AIR,part_n_minor,3,0.0342461769151503
CHE,AIR,part_n_minor,4,-0.01177108511524262
CHE,AIR,part_n_minor,5,-0.2267226566084515
CHN,AIR,part_n_minor,0,-0.06338894632527953
CHN,AIR,part_n_minor,1,-0.06545369304401526
CHN,AIR,part_n_minor,2,0.15613122786724215
CHN,AIR,part_n_minor,3,0.0312861126643946
CHN,AIR,part_n_minor,4,-0.06987989966804445
CHN,AIR,part_n_minor,5,-0.040160914616429476
CIV,AIR,part_n_minor,0,0.4443330145626739
CIV,AIR,part_n_minor,1,-0.027621874078319054
CIV,AIR,part_n_minor,2,-0.0603741632577016
CIV,AIR,part_n_minor,3,-0.15119509385813182
CIV,AIR,part_n_minor,4,0.13873801170087052
CIV,AIR,part_n_minor,5,-0.18009492902640675
CMR,AIR,part_n_minor,0,-0.31798674317987946
CMR,AIR,part_n_minor,1,0.194508691153819
CMR,AIR,part_n_minor,2,0.36541793043116044
CMR,AIR,part_n_minor,3,-0.3050969738050194
CMR,AIR,part_n_minor,4,0.10486695569769011
CMR,AIR,part_n_minor,5,0.17902528973635728
COD,AIR,part_n_minor,0,-0.009433290992925345
COD,AIR,part_n_minor,1,-0.13900466542806014
COD,AIR,part_n_minor,2,0.39846307948019494
COD,AIR,part_n_minor,3,-0.3350389425030839
COD,AIR,part_n_minor,4,-0.08996428277840707
COD,AIR,part_n_minor,5,0.14547488833442568
COG,AIR,part_n_minor,0,-0.2083222517010418
COG,AIR,part_n_minor,1,0.014560548006652201
COG,AIR,part_n_minor,2,0.21033824594134004
COG,AIR,part_n_minor,3,-0.10557871633742823
COG,AIR,part_n_minor,4,-0.05343016036281985
COG,AIR,part_n_minor,5,0.16252003703922596
COL,AIR,part_n_minor,0,-0.1196107106582828
COL,AIR,part_n_minor,1,0.04915474580365067
COL,AIR,part_n_minor,2,0.12838087363958045
COL,AIR,part_n_minor,3,0.01819972715955737
COL,AIR,part_n_minor,4,-0.1864063205041299
COL,AIR,part_n_minor,5,0.1298428171609241
COM,AIR,part_n_minor,0,-1.0505075827399868e-18
COM,AIR,part_n_minor,1,0.0
COM,AIR,part_n_minor,2,0.0
COM,AIR,part_n_minor,3,0.0
COM,AIR,part_n_minor,4,0.0
COM,AIR,part_n_minor,5,0.0
CZE,AIR,part_n_minor,0,-0.14011735198509356
CZE,AIR,part_n_minor,1,-0.10885889924090171
CZE,AIR,part_n_minor,2,0.2924085135449193
CZE,AIR,part_n_minor,3,-0.3041728272308662
CZE,AIR,part_n_minor,4,0.2104092744009411
CZE,AIR,part_n_minor,5,-0.009244739253325378
DEU,AIR,part_n_minor,0,-0.20605663925853254
DEU,AIR,part_n_minor,1,-0.11484412279136748
DEU,AIR,part_n_minor,2,-0.041142565579945285
DEU,AIR,part_n_minor,3,0.2658887419435608
DEU,AIR,part_n_minor,4,-0.044522944325709066
DEU,AIR,part_n_minor,5,0.1258600753536547
DJI,AIR,part_n_minor,0,-0.4941608348832387
DJI,AIR,part_n_minor,1,0.45908079223292414
DJI,AIR,part_n_minor,2,-0.20110073377889953
DJI,AIR,part_n_minor,3,-0.09372638163354811
DJI,AIR,part_n_minor,4,0.17739765157125714
DJI,AIR,part_n_minor,5,-0.1869298637448877
DNK,AIR,part_n_minor,0,-0.08705690118417792
DNK,AIR,part_n_minor,1,0.14091707613034407
DNK,AIR,part_n_minor,2,-0.019814317726210694
DNK,AIR,part_n_minor,3,-0.1822735912182423
DNK,AIR,part_n_minor,4,0.04362455267010148
DNK,AIR,part_n_minor,5,-0.22181475159775269
DOM,AIR,part_n_minor,0,0.4309711451519691
DOM,AIR,part_n_minor,1,-0.09417504776229611
DOM,AIR,part_n_minor,2,-0.1291505358170254
DOM,AIR,part_n_minor,3,-0.21117898254918135
DOM,AIR,part_n_minor,4,0.4320078727863206
DOM,AIR,part_n_minor,5,-0.33667216409763084
DZA,AIR,part_n_minor,0,0.08554620650196464
DZA,AIR,part_n_minor,1,-0.10940425796505122
DZA,AIR,part_n_minor,2,0.07534909729207753
DZA,AIR,part_n_minor,3,-0.04714444154847669
DZA,AIR,part_n_minor,4,0.016342154049942492
DZA,AIR,part_n_minor,5,-0.049053278306918385
ECU,AIR,part_n_minor,0,-0.3222333953467096
ECU,AIR,part_n_minor,1,0.13859572378466403
ECU,AIR,part_n_minor,2,0.21795766097353225
ECU,AIR,part_n_minor,3,-0.2095922338914751
ECU,AIR,part_n_minor,4,0.043121244210430225
ECU,AIR,part_n_minor,5,-0.08736485214849644
EGY,AIR,part_n_minor,0,0.1823710002905376
EGY,AIR,part_n_minor,1,0.22444865040395331
EGY,AIR,part_n_minor,2,-0.07992512445706042
EGY,AIR,part_n_minor,3,0.3672569330561457
EGY,AIR,part_n_minor,4,0.15484795073345212
EGY,AIR,part_n_minor,5,0.036776175155084675
ERI,AIR,part_n_minor,0,-0.3752365660759719
ERI,AIR,part_n_minor,1,0.13962382368296297
ERI,AIR,part_n_minor,2,0.051053913728038795
ERI,AIR,part_n_minor,3,0.12474019505005605
ERI,AIR,part_n_minor,4,-0.3563614497813508
ERI,AIR,part_n_minor,5,0.40462572532670726
ESP,AIR,part_n_minor,0,0.02475497915832878
ESP,AIR,part_n_minor,1,0.14092806940770142
ESP,AIR,part_n_minor,2,-0.08048572002333518
ESP,AIR,part_n_minor,3,0.22071522893584525
ESP,AIR,part_n_minor,4,-0.2821272320792135
ESP,AIR,part_n_minor,5,0.11478065454324242
EST,AIR,part_n_minor,0,0.31374516317975676
EST,AIR,part_n_minor,1,-0.16359076977845263
EST,AIR,part_n_minor,2,0.11166555268004671
EST,AIR,part_n_minor,3,-0.09443637095135249
EST,AIR,part_n_minor,4,0.18439409988669536
EST,AIR,part_n_minor,5,-0.11313753004826022
ETH,AIR,part_n_minor,0,-0.057993162625129775
ETH,AIR,part_n_minor,1,-0.06966735049260521
ETH,AIR,part_n_minor,2,0.10873299394676335
ETH,AIR,part_n_minor,3,0.2184855181229222
ETH,AIR,part_n_minor,4,-0.29968210199196504
ETH,AIR,part_n_minor,5,-0.05041267339209642
FIN,AIR,part_n_minor,0,0.14310648161085315
FIN,AIR,part_n_minor,1,-0.012190637249561018
FIN,AIR,part_n_minor,2,0.03747604151944075
FIN,AIR,part_n_minor,3,0.1765293459318232
FIN,AIR,part_n_minor,4,-0.26563623199671027
FIN,AIR,part_n_minor,5,0.07949344618754481
FRA,AIR,part_n_minor,0,0.34766195672385225
FRA,AIR,part_n_minor,1,-0.2058840511802707
FRA,AIR,part_n_minor,2,0.06634661250324049
FRA,AIR,part_n_minor,3,-0.020197730264069475
FRA,AIR,part_n_minor,4,0.23148658621986853
FRA,AIR,part_n_minor,5,-0.3293693803667963
GAB,AIR,part_n_minor,0,-0.21847461881067395
GAB,AIR,part_n_minor,1,0.03925186365678628
GAB,AIR,part_n_minor,2,-0.008730095922312815
GAB,AIR,part_n_minor,3,-0.19630580186117513
GAB,AIR,part_n_minor,4,0.28141823965648094
GAB,AIR,part_n_minor,5,0.060171233552313165
GBR,AIR,part_n_minor,0,0.1128472079323603
GBR,AIR,part_n_minor,1,-0.16876258605792613
GBR,AIR,part_n_minor,2,-0.11287150951672062
GBR,AIR,part_n_minor,3,0.1606302623221161
GBR,AIR,part_n_minor,4,-0.08413005713605982
GBR,AIR,part_n_minor,5,-0.06820778438214455
GEO,AIR,part_n_minor,0,-0.1602121780926462
GEO,AIR,part_n_minor,1,0.27800718640131244
GEO,AIR,part_n_minor,2,-0.24168276943228434
GEO,AIR,part_n_minor,3,0.25571587890289277
GEO,AIR,part_n_minor,4,-0.031916500075157
GEO,AIR,part_n_minor,5,-0.28620310860662285
GHA,AIR,part_n_minor,0,0.183602832177793
GHA,AIR,part_n_minor,1,-0.19310945526748274
GHA,AIR,part_n_minor,2,0.373964287729837
GHA,AIR,part_n_minor,3,-0.07849261452782935
GHA,AIR,part_n_minor,4,-0.12663227245497408
GHA,AIR,part_n_minor,5,0.012255175176026619
GIN,AIR,part_n_minor,0,-0.00882469321387659
GIN,AIR,part_n_minor,1,0.28080086603980103
GIN,AIR,part_n_minor,2,-0.4929999459118714
GIN,AIR,part_n_minor,3,0.4844787388050271
GIN,AIR,part_n_minor,4,-0.33851990545529237
GIN,AIR,part_n_minor,5,0.10171315873545789
GMB,AIR,part_n_minor,0,5.379661930721501e-19
GMB,AIR,part_n_minor,1,-4.444420514163458e-19
GMB,AIR,part_n_minor,2,-5.820042044382245e-19
GMB,AIR,part_n_minor,3,-1.6849061122526022e-19
GMB,AIR,part_n_minor,4,-3.107015530133847e-19
GMB,AIR,part_n_minor,5,2.447184588801213e-19
GRC,AIR,part_n_minor,0,-0.08562284355783577
GRC,AIR,part_n_minor,1,0.144401957865101
GRC,AIR,part_n_minor,2,-0.13297240053341305
GRC,AIR,part_n_minor,3,-0.19841947910627622
GRC,AIR,part_n_minor,4,0.3035835738600802
GRC,AIR,part_n_minor,5,0.004149115692114096
GTM,AIR,part_n_minor,0,0.25916858237792106
GTM,AIR,part_n_minor,1,0.11477901386469697
GTM,AIR,part_n_minor,2,-0.11629444745329266
GTM,AIR,part_n_minor,3,-0.12067428504669066
GTM,AIR,part_n_minor,4,0.09446408342588915
GTM,AIR,part_n_minor,5,-0.15601451010838832
HND,AIR,part_n_minor,0,2.6260514051251425e-19
HND,AIR,part_n_minor,1,-1.4386870413888252e-19
HND,AIR,part_n_minor,2,5.35894925032843e-19
HND,AIR,part_n_minor,3,5.800563888689413e-19
HND,AIR,part_n_minor,4,-1.6171456264301965e-20
HND,AIR,part_n_minor,5,-9.334489110037802e-19
HRV,AIR,part_n_minor,0,0.16110165157114897
HRV,AIR,part_n_minor,1,0.10427068070295904
HRV,AIR,part_n_minor,2,0.06516338202392662
HRV,AIR,part_n_minor,3,-0.16759957070341241
HRV,AIR,part_n_minor,4,-0.21972858647897536
HRV,AIR,part_n_minor,5,0.19600873611020395
HUN,AIR,part_n_minor,0,-0.20085773171543217
HUN,AIR,part_n_minor,1,-0.09677435196601951
HUN,AIR,part_n_minor,2,0.24090775466470885
HUN,AIR,part_n_minor,3,-0.1769318428590887
HUN,AIR,part_n_minor,4,0.25240806058487314
HUN,AIR,part_n_minor,5,-0.19852405681051655
IDN,AIR,part_n_minor,0,-0.04899943825214797
IDN,AIR,part_n_minor,1,0.04187020738468873
IDN,AIR,part_n_minor,2,0.493135643903089
IDN,AIR,part_n_minor,3,-0.20895280925307852
IDN,AIR,part_n_minor,4,0.012563784959114362
IDN,AIR,part_n_minor,5,0.1843067629344846
IND,AIR,part_n_minor,0,-0.2780956615841408
IND,AIR,part_n_minor,1,0.18292191218139178
IND,AIR,part_n_minor,2,0.0038401070034352752
IND,AIR,part_n_minor,3,-0.2379807021191288
IND,AIR,part_n_minor,4,-0.04693402351753498
IND,AIR,part_n_minor,5,0.2890330434378244
IRL,AIR,part_n_minor,0,0.07996385252624658
IRL,AIR,part_n_minor,1,-0.029906963060612284
IRL,AIR,part_n_minor,2,-0.03099137533108344
IRL,AIR,part_n_minor,3,0.02344647323440845
IRL,AIR,part_n_minor,4,0.15002950482373265
IRL,AIR,part_n_minor,5,-0.12102113129008253
IRN,AIR,part_n_minor,0,0.3130850584941114
IRN,AIR,part_n_minor,1,-0.317837306364759
IRN,AIR,part_n_minor,2,-0.1344265450140447
IRN,AIR,part_n_minor,3,0.2996937752676639
IRN,AIR,part_n_minor,4,-0.27348177942322555
IRN,AIR,part_n_minor,5,0.12351908568860695
IRQ,AIR,part_n_minor,0,0.022750396122550247
IRQ,AIR,part_n_minor,1,-0.011216268152401508
IRQ,AIR,part_n_minor,2,0.047604660777183
IRQ,AIR,part_n_minor,3,-0.06016980531974439
IRQ,AIR,part_n_minor,4,-0.13166064517485057
IRQ,AIR,part_n_minor,5,0.03207530987059306
ISR,AIR,part_n_minor,0,0.04924848227850636
ISR,AIR,part_n_minor,1,-0.2298265304894392
ISR,AIR,part_n_minor,2,0.25225430674984123
ISR,AIR,part_n_minor,3,0.10813587285255528
ISR,AIR,part_n_minor,4,0.03968362145483525
ISR,AIR,part_n_minor,5,-0.10069851608332896
ITA,AIR,part_n_minor,0,-0.1726579515950782
ITA,AIR,part_n_minor,1,0.14002517260017058
ITA,AIR,part_n_minor,2,0.0038707152265152495
ITA,AIR,part_n_minor,3,0.10932744399885216
ITA,AIR,part_n_minor,4,-0.11801000672065208
ITA,AIR,part_n_minor,5,-0.05808128266006123
JOR,AIR,part_n_minor,0,-0.2478187219585139
JOR,AIR,part_n_minor,1,-0.08058167595965461
JOR,AIR,part_n_minor,2,0.46123517769246564
JOR,AIR,part_n_minor,3,-0.5082713025198194
JOR,AIR,part_n_minor,4,0.42474156639718263
JOR,AIR,part_n_minor,5,-0.23818738895497854
JPN,AIR,part_n_minor,0,-0.008859011333552954
JPN,AIR,part_n_minor,1,-0.025625921322892636
JPN,AIR,part_n_minor,2,-0.3345003195440734
JPN,AIR,part_n_minor,3,0.3820226175355911
JPN,AIR,part_n_minor,4,0.24299812111517524
JPN,AIR,part_n_minor,5,-0.1879996743018884
KAZ,AIR,part_n_minor,0,0.1300956700117194
KAZ,AIR,part_n_minor,1,0.011047710307641541
KAZ,AIR,part_n_minor,2,-0.09495329354467877
KAZ,AIR,part_n_minor,3,0.042132815731653984
KAZ,AIR,part_n_minor,4,-0.1364048253633042
KAZ,AIR,part_n_minor,5,0.08129125108855627
KEN,AIR,part_n_minor,0,-0.30117124036103254
KEN,AIR,part_n_minor,1,0.17049009675991172
KEN,AIR,part_n_minor,2,-0.020376546250747935
KEN,AIR,part_n_minor,3,0.2515067279122545
KEN,AIR,part_n_minor,4,-0.25409750869784375
KEN,AIR,part_n_minor,5,0.36560666841247985
KGZ,AIR,part_n_minor,0,0.0935319375687861
KGZ,AIR,part_n_minor,1,-0.3050270543113719
KGZ,AIR,part_n_minor,2,0.06839691737071985
KGZ,AIR,part_n_minor,3,0.042782961293056795
KGZ,AIR,part_n_minor,4,-0.044979788676885055
KGZ,AIR,part_n_minor,5,0.22004423641661394
KHM,AIR,part_n_minor,0,0.04722606702040766
KHM,AIR,part_n_minor,1,0.3690280951748756
KHM,AIR,part_n_minor,2,0.06904429680082068
KHM,AIR,part_n_minor,3,-0.19067280703826203
KHM,AIR,part_n_minor,4,0.058425162903770735
KHM,AIR,part_n_minor,5,0.0815691798304627
KOR,AIR,part_n_minor,0,0.03991281709971307
KOR,AIR,part_n_minor,1,0.04493759283951705
KOR,AIR,part_n_minor,2,-0.18758231628423888
KOR,AIR,part_n_minor,3,0.23388321916238503
KOR,AIR,part_n_minor,4,-0.27844720301449355
KOR,AIR,part_n_minor,5,0.09671642801839282
KWT,AIR,part_n_minor,0,0.17884295250508153
KWT,AIR,part_n_minor,1,-0.08943664674803829
KWT,AIR,part_n_minor,2,-7.366064157458993e-21
KWT,AIR,part_n_minor,3,-1.4183047436816069e-19
KWT,AIR,part_n_minor,4,4.104392835151153e-19
KWT,AIR,part_n_minor,5,0.0
LAO,AIR,part_n_minor,0,0.23237947753551008
LAO,AIR,part_n_minor,1,-0.23148330124217362
LBN,AIR,part_n_minor,0,-0.09749147169362028
LBN,AIR,part_n_minor,1,-0.005340901371693217
LBN,AIR,part_n_minor,2,0.006632543311186131
LBN,AIR,part_n_minor,3,-0.017898021623573596
LBN,AIR,part_n_minor,4,-0.16558978036050465
LBN,AIR,part_n_minor,5,0.5402878361124284
LBR,AIR,part_n_minor,0,0.34927319683353053
LBR,AIR,part_n_minor,1,-0.11923567120019346
LBR,AIR,part_n_minor,2,0.0
LBR,AIR,part_n_minor,3,0.19001328735097217
LBR,AIR,part_n_minor,4,-0.137221306812129
LBR,AIR,part_n_minor,5,-0.05279198053884317
LBY,AIR,part_n_minor,0,0.06842173594463334
LBY,AIR,part_n_minor,1,0.08450876014794015
LBY,AIR,part_n_minor,2,0.03901690012109337
LBY,AIR,part_n_minor,3,-0.39030881072049345
LBY,AIR,part_n_minor,4,0.4574680340360151
LBY,AIR,part_n_minor,5,-0.18106729589231052
LKA,AIR,part_n_minor,0,-0.08757321653603464
LKA,AIR,part_n_minor,1,0.06183424108666182
LKA,AIR,part_n_minor,2,-0.21237423137785139
LKA,AIR,part_n_minor,3,0.0024693794570533815
LKA,AIR,part_n_minor,4,0.186022453157201
LKA,AIR,part_n_minor,5,-0.10506365461050589
LSO,AIR,part_n_minor,0,0.40929222268190635
LSO,AIR,part_n_minor,1,-0.28756123055676264
LSO,AIR,part_n_minor,2,0.007394348083259194
LSO,AIR,part_n_minor,3,0.007627276146359083
LSO,AIR,part_n_minor,4,0.10147505750780837
LSO,AIR,part_n_minor,5,0.005076313132883591
LTU,AIR,part_n_minor,0,-0.21581597197891886
LTU,AIR,part_n_minor,1,0.122550910748996
LTU,AIR,part_n_minor,2,0.1865301224598456
LTU,AIR,part_n_minor,3,-0.29151869565884725
LTU,AIR,part_n_minor,4,0.09827634908830193
LTU,AIR,part_n_minor,5,0.15890977585487592
LUX,AIR,part_n_minor,0,-0.4078059407526194
LUX,AIR,part_n_minor,1,0.42257635805146593
LUX,AIR,part_n_minor,2,-0.11518236976838991
LUX,AIR,part_n_minor,3,0.458120806643113
LUX,AIR,part_n_minor,4,-0.38262605480929457
LUX,AIR,part_n_minor,5,-0.5173719579898013
LVA,AIR,part_n_minor,0,0.09035786675129853
LVA,AIR,part_n_minor,1,-0.14421775194331793
LVA,AIR,part_n_minor,2,0.008290640578709369
LVA,AIR,part_n_minor,3,0.05680433104370884
LVA,AIR,part_n_minor,4,0.05449956487974368
LVA,AIR,part_n_minor,5,-0.13566190210289253
MAR,AIR,part_n_minor,0,0.11700144612425002
MAR,AIR,part_n_minor,1,-0.5078059207131498
MAR,AIR,part_n_minor,2,0.03763570786436976
MAR,AIR,part_n_minor,3,0.4214418025615372
MAR,AIR,part_n_minor,4,-0.12763898327047493
MAR,AIR,part_n_minor,5,-0.25086321476483897
MDG,AIR,part_n_minor,0,0.13742598788739366
MDG,AIR,part_n_minor,1,-0.010867441539842022
MDG,AIR,part_n_minor,2,0.08274545108311704
MDG,AIR,part_n_minor,3,0.009544652597443677
MDG,AIR,part_n_minor,4,-0.0920552560621597
MDG,AIR,part_n_minor,5,-7.030471095134817e-20
MEX,AIR,part_n_minor,0,-0.11249110623805914
MEX,AIR,part_n_minor,1,-0.03247592995005242
MEX,AIR,part_n_minor,2,-0.02008702458253032
MEX,AIR,part_n_minor,3,0.11380245008545671
MEX,AIR,part_n_minor,4,-0.012722632276554938
MEX,AIR,part_n_minor,5,0.04639445516698537
MKD,AIR,part_n_minor,0,0.3991265782689075
MKD,AIR,part_n_minor,1,-0.07063640636822557
MKD,AIR,part_n_minor,2,-0.19909859912627662
MKD,AIR,part_n_minor,3,-0.1869406328716221
MKD,AIR,part_n_minor,4,0.3431556265545259
MKD,AIR,part_n_minor,5,-0.14491077096594437
MLI,AIR,part_n_minor,0,0.0008750290052822751
MLI,AIR,part_n_minor,1,-0.015554857240281937
MLI,AIR,part_n_minor,2,0.13296996196441327
MLI,AIR,part_n_minor,3,-0.19026654208141197
MLI,AIR,part_n_minor,4,0.1537738553289946
MLI,AIR,part_n_minor,5,-0.1416564845970501
MMR,AIR,part_n_minor,0,0.1621920554605438
MMR,AIR,part_n_minor,1,-0.03494642825219222
MMR,AIR,part_n_minor,2,-0.2594921690712287
MMR,AIR,part_n_minor,3,0.18294525111218413
MMR,AIR,part_n_minor,4,0.0646547688564798
MMR,AIR,part_n_minor,5,-0.117029296339887
MNE,AIR,part_n_minor,0,0.0
MNE,AIR,part_n_minor,1,0.0
MNE,AIR,part_n_minor,2,0.0
MNE,AIR,part_n_minor,3,-1.271231938024944e-19
MNE,AIR,part_n_minor,4,-9.126722297883828e-20
MNE,AIR,part_n_minor,5,0.0
MNG,AIR,part_n_minor,0,4.34860197846872e-18
MNG,AIR,part_n_minor,1,-0.29015286459476486
MNG,AIR,part_n_minor,2,0.14772917014976886
MNG,AIR,part_n_minor,3,0.15492400432031916
MNG,AIR,part_n_minor,4,-0.35673802327912013
MNG,AIR,part_n_minor,5,0.4174221790991957
MOZ,AIR,part_n_minor,0,0.26166479679998084
MOZ,AIR,part_n_minor,1,-0.3477476200006188
MOZ,AIR,part_n_minor,2,0.2735613632123231
