iso3,series,p,stationary
BRA,log_part_n_extraterritorial,0.6539986239779725,False
CMR,log_tiv_AIR,0.0004150038593226233,True
CMR,log_tiv_MISSILES,5.748098271552702e-07,True
CMR,log_tiv_NAVAL,1.1398964230318396e-07,True
CMR,log_tiv_GROUND,0.004424649412176044,True
CMR,log_part_n_minor,0.7056264548338702,False
CMR,log_part_n_war,0.007565089547113411,True
CMR,log_part_n_extraterritorial,0.00023367882679642047,True
TKM,log_tiv_AIR,0.0006269932651613401,True
TKM,log_tiv_MISSILES,0.5561483991848117,False
TKM,log_tiv_NAVAL,0.9984691371870333,False
TKM,log_tiv_GROUND,0.03161373834315998,True
TKM,log_part_n_minor,,False
TKM,log_part_n_extraterritorial,,False
UGA,log_tiv_AIR,3.262692088809898e-05,True
UGA,log_tiv_MISSILES,0.0526282881977637,False
UGA,log_tiv_GROUND,8.945531065480376e-07,True
UGA,log_part_n_minor,0.005548834190447356,True
UGA,log_part_n_war,0.28135471493742104,False
UGA,log_part_n_extraterritorial,0.3756118940818859,False
SLE,log_tiv_AIR,2.1193142133074606e-05,True
SLE,log_tiv_NAVAL,0.8210262585651598,False
SLE,log_tiv_GROUND,2.409365696884494e-05,True
SLE,log_part_n_minor,0.00015471779199153796,True
SLE,log_part_n_war,0.23653187910237328,False
SLE,log_part_n_extraterritorial,0.5460761572794298,False
SAU,log_tiv_AIR,0.018147954855916203,True
SAU,log_tiv_MISSILES,0.23129693139154622,False
SAU,log_tiv_NAVAL,0.44057042737304575,False
SAU,log_tiv_GROUND,0.042255588565869605,True
SAU,log_part_n_minor,0.05982573889894664,False
SAU,log_part_n_war,0.3415564351033417,False
SAU,log_part_n_extraterritorial,0.25946596104323616,False
IND,log_tiv_AIR,0.11690487938745714,False
IND,log_tiv_MISSILES,0.5318930066554991,False
IND,log_tiv_NAVAL,5.802131178143598e-07,True
IND,log_tiv_GROUND,0.0007377653900757123,True
IND,log_part_n_minor,0.13833552495390422,False
IND,log_part_n_war,0.14172475483734887,False
HRV,log_tiv_AIR,0.004899654584817293,True
HRV,log_tiv_MISSILES,0.29184893788880883,False
HRV,log_tiv_NAVAL,1.8453168900320317e-07,True
HRV,log_tiv_GROUND,0.4438384434219148,False
HRV,log_part_n_minor,0.007778980377650997,True
HRV,log_part_n_war,0.01199018919893229,True
HRV,log_part_n_extraterritorial,0.15728468344785246,False
JPN,log_tiv_AIR,0.37332947674762695,False
JPN,log_tiv_MISSILES,0.07590841311525728,False
JPN,log_tiv_NAVAL,0.0015675479781335042,True
JPN,log_tiv_GROUND,0.7776523056537915,False
JPN,log_part_n_minor,2.570971969923152e-07,True
JPN,log_part_n_extraterritorial,2.570971969923152e-07,True
ISR,log_tiv_AIR,9.411114930760464e-06,True
ISR,log_tiv_MISSILES,6.782717073524904e-05,True
ISR,log_tiv_NAVAL,2.7790623228702244e-05,True
ISR,log_tiv_GROUND,0.007344819956768494,True
ISR,log_part_n_minor,0.08581236878900489,False
ISR,log_part_n_war,0.10013244274204702,False
UZB,log_tiv_AIR,0.9949913299482965,False
UZB,log_tiv_MISSILES,0.9979894880621362,False
UZB,log_tiv_GROUND,4.3868527700595946e-06,True
UZB,log_part_n_minor,0.5746277045651138,False
UZB,log_part_n_war,0.00934774453001348,True
UZB,log_part_n_extraterritorial,0.022323692146505102,True
NOR,log_tiv_AIR,0.6654246781988781,False
NOR,log_tiv_MISSILES,0.016930354922364547,True
NOR,log_tiv_NAVAL,0.048943985261406774,True
NOR,log_tiv_GROUND,0.05030649575016539,False
NOR,log_part_n_minor,0.0318966595547441,True
NOR,log_part_n_war,0.020529351609487677,True
NOR,log_part_n_extraterritorial,0.09676644324024802,False
TTO,log_tiv_AIR,0.0005329169341810907,True
TTO,log_tiv_NAVAL,0.29962828018913107,False
TTO,log_part_n_minor,2.5709719699231327e-07,True
TWN,log_tiv_AIR,0.2994922466941068,False
TWN,log_tiv_MISSILES,0.026952365914093203,True
TWN,log_tiv_NAVAL,0.014817121308616926,True
TWN,log_tiv_GROUND,0.5638175651149457,False
MEX,log_tiv_AIR,0.011430356689500308,True
MEX,log_tiv_MISSILES,5.330346806747437e-09,True
MEX,log_tiv_NAVAL,5.568151232005455e-05,True
MEX,log_tiv_GROUND,0.005371885044070224,True
MEX,log_part_n_minor,0.0297796735401391,True
MEX,log_part_n_war,2.570971969923199e-07,True
MEX,log_part_n_extraterritorial,8.409335238892587e-05,True
TJK,log_tiv_AIR,5.443699158764594e-06,True
TJK,log_tiv_MISSILES,2.570971969923175e-07,True
TJK,log_tiv_GROUND,0.9980913517997259,False
TJK,log_part_n_minor,9.88087739166793e-06,True
TJK,log_part_n_war,0.00036151536954630157,True
TJK,log_part_n_extraterritorial,0.0011145641239463451,True
PER,log_tiv_AIR,8.929529676637267e-05,True
PER,log_tiv_MISSILES,0.035874054011016794,True
PER,log_tiv_NAVAL,2.6684234845423646e-05,True
PER,log_tiv_GROUND,0.00035201245408151725,True
PER,log_part_n_minor,0.053566841471077264,False
PER,log_part_n_war,0.0021555469809608875,True
PER,log_part_n_extraterritorial,0.13270193512905898,False
