iso3,β,SE,p,N
IRL,2.0469,0.5956,0.0006,4861
IRN,1.9552,0.5823,0.0008,4861
IRQ,1.9953,0.5932,0.0008,4875
ISL,2.0328,0.5926,0.0006,4861
ISR,1.984,0.5886,0.0008,4861
ITA,2.0308,0.5932,0.0006,4861
JAM,2.0383,0.5952,0.0006,4861
JOR,2.037,0.5929,0.0006,4861
JPN,2.0345,0.5925,0.0006,4861
KAZ,2.0376,0.5942,0.0006,4864
KEN,2.0784,0.586,0.0004,4861
KGZ,2.036,0.5939,0.0006,4863
KHM,2.0133,0.5871,0.0006,4861
KIR,2.0297,0.5915,0.0006,4896
KOR,2.0297,0.5915,0.0006,4896
KWT,2.1574,0.6024,0.0003,4861
LAO,2.0497,0.5962,0.0006,4874
LBN,2.0112,0.6044,0.0009,4862
LBR,2.0191,0.5896,0.0006,4875
LBY,2.0298,0.6,0.0007,4879
LIE,2.0297,0.5915,0.0006,4896
LKA,1.8185,0.5592,0.0012,4861
LSO,1.9992,0.5882,0.0007,4861
LTU,2.0427,0.5931,0.0006,4866
LUX,2.0352,0.5934,0.0006,4861
LVA,2.0301,0.5924,0.0006,4866
MAR,2.0305,0.5987,0.0007,4861
MCO,2.0297,0.5915,0.0006,4896
MDA,2.0258,0.5912,0.0006,4864
MDG,2.029,0.5917,0.0006,4861
MDV,2.0297,0.5915,0.0006,4896
MEX,2.0331,0.5916,0.0006,4861
MHL,2.0297,0.5915,0.0006,4896
MKD,1.9533,0.5899,0.0009,4867
MLI,1.9104,0.5723,0.0008,4863
MLT,2.0352,0.5935,0.0006,4861
MMR,2.0536,0.5919,0.0005,4867
MNE,2.032,0.5919,0.0006,4876
MNG,2.0343,0.5936,0.0006,4861
MOZ,1.9056,0.5787,0.001,4862
MRT,2.0418,0.5951,0.0006,4864
MUS,2.0401,0.5946,0.0006,4861
MWI,2.0413,0.5944,0.0006,4861
MYS,2.0355,0.5958,0.0006,4861
NAM,2.0412,0.5959,0.0006,4861
NER,1.9467,0.5904,0.001,4868
NGA,1.9231,0.6092,0.0016,4861
NIC,2.0613,0.5934,0.0005,4861
NLD,2.0348,0.5929,0.0006,4861
NOR,2.0422,0.5948,0.0006,4861
NPL,2.0041,0.6056,0.0009,4861
NRU,2.0297,0.5915,0.0006,4896
NZL,2.0468,0.5962,0.0006,4861
OMN,2.0533,0.5987,0.0006,4861
PAK,2.0606,0.6014,0.0006,4861
PAN,2.1163,0.5937,0.0004,4861
PER,2.0105,0.6041,0.0009,4861
PHL,2.0793,0.5956,0.0005,4861
PLW,2.0297,0.5915,0.0006,4896
PNG,2.0054,0.595,0.0008,4861
POL,2.0397,0.594,0.0006,4861
PRK,2.0297,0.5915,0.0006,4896
PRT,2.0472,0.597,0.0006,4861
PRY,2.0413,0.5902,0.0005,4861
PSE,2.0297,0.5915,0.0006,4896
QAT,2.0644,0.6012,0.0006,4883
ROU,2.0732,0.588,0.0004,4861
RUS,1.8875,0.6196,0.0023,4862
RWA,2.0634,0.6065,0.0007,4861
SAU,2.0392,0.5929,0.0006,4861
SDN,2.033,0.5997,0.0007,4869
SEN,2.0592,0.5749,0.0003,4861
SGP,2.0332,0.5931,0.0006,4861
SLB,2.0297,0.5915,0.0006,4896
SLE,1.9656,0.5881,0.0008,4861
SLV,2.0503,0.592,0.0005,4861
SMR,2.0297,0.5915,0.0006,4896
SOM,2.0297,0.5915,0.0006,4896
SRB,2.0702,0.6032,0.0006,4867
SSD,2.0033,0.591,0.0007,4891
STP,2.0297,0.5915,0.0006,4896
SUR,2.0297,0.5915,0.0006,4896
SVK,2.0538,0.6005,0.0006,4864
SVN,2.0386,0.5951,0.0006,4863
SWE,2.0425,0.5954,0.0006,4861
SWZ,2.0303,0.5919,0.0006,4861
SYC,2.0368,0.5939,0.0006,4861
SYR,2.0297,0.5915,0.0006,4896
TCD,2.0748,0.5657,0.0002,4863
TGO,1.9957,0.5958,0.0008,4870
THA,2.1096,0.591,0.0004,4861
TJK,2.0335,0.5846,0.0005,4867
TKM,2.0298,0.5915,0.0006,4890
TLS,2.0336,0.593,0.0006,4876
TON,2.0297,0.5915,0.0006,4896
TTO,2.0338,0.5933,0.0006,4870
TUN,2.0342,0.5968,0.0007,4861
TUR,2.0342,0.5924,0.0006,4861
TUV,2.0297,0.5915,0.0006,4896
TWN,2.0297,0.5915,0.0006,4896
TZA,2.0494,0.5985,0.0006,4861
UGA,2.0854,0.597,0.0005,4861
UKR,2.1391,0.607,0.0004,4864
URY,2.0509,0.5954,0.0006,4861
USA,2.0271,0.5958,0.0007,4861
UZB,2.079,0.5994,0.0005,4886
VEN,2.0297,0.5915,0.0006,4896
VNM,2.0426,0.5938,0.0006,4869
VUT,2.0297,0.5915,0.0006,4896
WSM,2.0297,0.5915,0.0006,4896
XKX,2.0297,0.5915,0.0006,4896
YEM,2.0297,0.5915,0.0006,4896
ZAF,2.0447,0.6042,0.0007,4861
ZMB,2.0403,0.5952,0.0006,4866
ZWE,2.0449,0.5967,0.0006,4864
"(drop top-5 jointly: USA, SAU, IND, CHN, GBR)",2.0255,0.5882,0.0006,4721
